data,config,auc
s6e9-12k,tabpfn-raw,0.9464745802524834
s6e9-12k,jepa,0.9455564468910665
s6e9-12k,+curriculum,0.9456877635814177
s6e9-12k,+masks,0.946168391335872
s6e9-12k,+mc4,0.946120718610002
NATICUSdroid,tabpfn-raw,0.9885171745640303
NATICUSdroid,jepa,0.987521578298397
NATICUSdroid,+curriculum,0.9875539897833363
NATICUSdroid,+masks,0.9877082966355469
NATICUSdroid,+mc4,0.9877033644530561
phoneme,tabpfn-raw,0.9774672753860968
phoneme,jepa,0.9723178300103434
phoneme,+curriculum,0.9716936548132825
phoneme,+masks,0.9737653220149566
phoneme,+mc4,0.9644874035500708
churn,tabpfn-raw,0.9178025364466043
churn,jepa,0.91472976176366
churn,+curriculum,0.9182499703686144
churn,+masks,0.9183418276638615
churn,+mc4,0.9160928054995853
