data,budget,strategy,k,auc
s6e9,0.05,random,400,0.9352671559652135
s6e9,0.05,entropy,400,0.5805312053648132
s6e9,0.05,raw-kcenter,400,0.936346644128157
s6e9,0.05,jepa-kcenter,400,0.935584754572639
s6e9,0.05,guided-mix,400,0.8664419757757302
s6e9,0.1,random,800,0.9382973590721262
s6e9,0.1,entropy,800,0.7386041975081525
s6e9,0.1,raw-kcenter,800,0.9373150595540777
s6e9,0.1,jepa-kcenter,800,0.9367718444495738
s6e9,0.1,guided-mix,800,0.8678407980576156
s6e9,0.2,random,1600,0.9381706667314591
s6e9,0.2,entropy,1600,0.8354717727729483
s6e9,0.2,raw-kcenter,1600,0.9390332159549045
s6e9,0.2,jepa-kcenter,1600,0.936903743324789
s6e9,0.2,guided-mix,1600,0.8628512024491538
s6e9,0.4,random,3200,0.9391009009040279
s6e9,0.4,entropy,3200,0.9291590231846985
s6e9,0.4,raw-kcenter,3200,0.9399183268280576
s6e9,0.4,jepa-kcenter,3200,0.9393785827465858
s6e9,0.4,guided-mix,3200,0.9291477423598445
s6e9,1.0,random,8000,0.9406750098490279
s6e9,1.0,entropy,8000,0.9406663322914478
s6e9,1.0,raw-kcenter,8000,0.9406732743375119
s6e9,1.0,jepa-kcenter,8000,0.9406802163835758
s6e9,1.0,guided-mix,8000,0.940659390245384
NATICUSdroid,0.05,random,274,0.9821968835898129
NATICUSdroid,0.05,entropy,274,0.8677068610881409
NATICUSdroid,0.05,raw-kcenter,274,0.9736925913601925
NATICUSdroid,0.05,jepa-kcenter,274,0.9760207292123098
NATICUSdroid,0.05,guided-mix,274,0.9736991804295855
NATICUSdroid,0.1,random,549,0.9839671469000076
NATICUSdroid,0.1,entropy,549,0.9450866956805355
NATICUSdroid,0.1,raw-kcenter,549,0.9810020656732547
NATICUSdroid,0.1,jepa-kcenter,549,0.9800543378589258
NATICUSdroid,0.1,guided-mix,549,0.9827811144093064
NATICUSdroid,0.2,random,1098,0.9856385741693106
NATICUSdroid,0.2,entropy,1098,0.9782346565282852
NATICUSdroid,0.2,raw-kcenter,1098,0.985188321094137
NATICUSdroid,0.2,jepa-kcenter,1098,0.9834191559621743
NATICUSdroid,0.2,guided-mix,1098,0.9849236601401935
NATICUSdroid,0.4,random,2196,0.9856583413774888
NATICUSdroid,0.4,entropy,2196,0.9863578809113561
NATICUSdroid,0.4,raw-kcenter,2196,0.9861536197601799
NATICUSdroid,0.4,jepa-kcenter,2196,0.9863117574256066
NATICUSdroid,0.4,guided-mix,2196,0.9852146773717081
NATICUSdroid,1.0,random,5491,0.9881270460433188
NATICUSdroid,1.0,entropy,5491,0.988145715073265
NATICUSdroid,1.0,raw-kcenter,5491,0.9879348648526959
NATICUSdroid,1.0,jepa-kcenter,5491,0.9879337666744636
NATICUSdroid,1.0,guided-mix,5491,0.9877855126131261
phoneme,0.05,random,170,0.897574361218715
phoneme,0.05,entropy,170,0.6570636978844533
phoneme,0.05,raw-kcenter,170,0.881741820597494
phoneme,0.05,jepa-kcenter,170,0.8754145914488367
phoneme,0.05,guided-mix,170,0.8641249241950204
phoneme,0.1,random,340,0.9134611559008525
phoneme,0.1,entropy,340,0.48689342452838147
phoneme,0.1,raw-kcenter,340,0.8893024253976521
phoneme,0.1,jepa-kcenter,340,0.8998952293801414
phoneme,0.1,guided-mix,340,0.8957080215231886
phoneme,0.2,random,680,0.9247520288004668
phoneme,0.2,entropy,680,0.8058922321446871
phoneme,0.2,raw-kcenter,680,0.9316338550162702
phoneme,0.2,jepa-kcenter,680,0.9341632999007753
phoneme,0.2,guided-mix,680,0.9376030073628788
phoneme,0.4,random,1361,0.9464223063762989
phoneme,0.4,entropy,1361,0.9528508097720003
phoneme,0.4,raw-kcenter,1361,0.955124657747299
phoneme,0.4,jepa-kcenter,1361,0.9590164823837065
phoneme,0.4,guided-mix,1361,0.9646251466366703
phoneme,1.0,random,3404,0.9772060605402981
phoneme,1.0,entropy,3404,0.9772048548944999
phoneme,1.0,raw-kcenter,3404,0.9772072661860962
phoneme,1.0,jepa-kcenter,3404,0.9772108831234907
phoneme,1.0,guided-mix,3404,0.9771469838961891
