data,budget,strategy,pr_auc,recall,pos_found
aps,0.01,random,0.5429756855193386,0.2853333333333333,3
aps,0.01,entropy,0.36954410497228174,0.5786666666666667,100
aps,0.01,jepa-kcenter,0.8060106269108767,0.6746666666666666,81
aps,0.01,guided-mix,0.8304155920362375,0.6986666666666667,91
aps,0.02,random,0.7419283062509818,0.42133333333333334,9
aps,0.02,entropy,0.8006552633999944,0.704,172
aps,0.02,jepa-kcenter,0.8614302638355376,0.72,158
aps,0.02,guided-mix,0.8494475058387302,0.7413333333333333,163
aps,0.05,random,0.7735878680939324,0.42933333333333334,16
aps,0.05,entropy,0.8823596960143999,0.7333333333333333,277
aps,0.05,jepa-kcenter,0.8955676800232473,0.7386666666666667,268
aps,0.05,guided-mix,0.8880954252273748,0.744,275
aps,0.1,random,0.7951289888242669,0.424,23
aps,0.1,entropy,0.9204655384772685,0.7546666666666667,316
aps,0.1,jepa-kcenter,0.9142002929249515,0.7653333333333333,306
aps,0.1,guided-mix,0.920548748366569,0.7573333333333333,316
