data,k,setup,auc
madelon,500,all,0.9823888888888889
madelon,10,jepa-top,0.5713666666666667
madelon,10,random,0.5164388888888889
madelon,10,jepa-bottom,0.5147888888888889
madelon,20,jepa-top,0.5645611111111112
madelon,20,random,0.48918888888888895
madelon,20,jepa-bottom,0.5190833333333333
madelon,50,jepa-top,0.5718722222222222
madelon,50,random,0.5126
madelon,50,jepa-bottom,0.8858333333333334
madelon,100,jepa-top,0.7510222222222221
madelon,100,random,0.9592555555555555
madelon,100,jepa-bottom,0.9369777777777778
madelon,250,jepa-top,0.9756333333333334
madelon,250,random,0.9774555555555555
madelon,250,jepa-bottom,0.9807111111111111
