exp,data,budget,strategy,auc,corr_frac
swap,phoneme,0.2,raw,0.9303341688458715,
swap,phoneme,0.2,pca,0.9303341688458715,
swap,phoneme,0.2,tabpfn-emb,0.9376669065901805,
swap,phoneme,0.2,jepa-uniform,0.9391715525462637,
swap,phoneme,0.2,jepa-guided,0.9304800519874468,
swap,phoneme,0.4,raw,0.958299123133811,
swap,phoneme,0.4,pca,0.958299123133811,
swap,phoneme,0.4,tabpfn-emb,0.9551969964951877,
swap,phoneme,0.4,jepa-uniform,0.9613289110245455,
swap,phoneme,0.4,jepa-guided,0.957375598452433,
swap,NATICUSdroid,0.2,raw,0.9831830476422663,
swap,NATICUSdroid,0.2,pca,0.9833543634464785,
swap,NATICUSdroid,0.2,tabpfn-emb,0.9846491155821607,
swap,NATICUSdroid,0.2,jepa-uniform,0.9820925566577605,
swap,NATICUSdroid,0.2,jepa-guided,0.9824615445437563,
swap,NATICUSdroid,0.4,raw,0.9865259021808722,
swap,NATICUSdroid,0.4,pca,0.9860954163138769,
swap,NATICUSdroid,0.4,tabpfn-emb,0.986575320201318,
swap,NATICUSdroid,0.4,jepa-uniform,0.9862337867711254,
swap,NATICUSdroid,0.4,jepa-guided,0.9867312615102807,
poison,phoneme,0.1,random,0.9020412789008367,0.07941176470588235
poison,phoneme,0.1,entropy,0.36506532791757235,0.08823529411764706
poison,phoneme,0.1,jepa-kcenter,0.8570031744653864,0.07647058823529412
poison,phoneme,0.1,guided-mix,0.8768505155944256,0.09117647058823529
